Celtics,Boston,Boston,Atlantic,East,BOS
76ers,Philadelphia,Philadelphia,Atlantic,East,PHI
Knicks,New_York,New_York,Atlantic,East,NYK
Nets,Brooklyn,Brooklyn,Atlantic,East,BKN
Raptors,Toronto,Toronto,Atlantic,East,TOR
Bucks,Milkwaukee,Milwaukee,Central,East,MIL
Bulls,Chicago,Chicago,Central,East,CHI
Cavaliers,Cleveland,Cleveland,Central,East,CLE
Pacers,Indiana,Indianapolis,Central,East,IND
Pistons,Detroit,Detroit,Central,East,DET
Jazz,Utah,Salt_Lake_City,Northwest,West,UTA
Nuggets,Denver,Denver,Northwest,West,DEN
Thunder,Oklahoma_City,Oklahoma_City,Northwest,West,OKC
Timberwolves,Minnesota,Minneapolis,Northwest,West,MIN
Trail_Blazers,Portland,Portland,Northwest,West,POR
Clippers,LA,Los_Angeles,Pacific,West,LAC
Kings,Sacramento,Sacramento,Pacific,West,SAC
Lakers,Los_Angeles,Los_Angeles,Pacific,West,LAL
Suns,Pheonix,Phoenix,Pacific,West,PHX
Warriors,Golden_State,San_Francisco,Pacific,West,GSW
Hawks,Atlanta,Atlanta,Southeast,East,ATL
Heat,Miami,Miami,Southeast,East,MIA
Hornets,Charlotte,Charlotte,Southeast,East,CHA
Magic,Orlando,Orlando,Southeast,East,ORL
Wizards,Washington,Washington_D.C.,Southeast,East,WAS
Grizzlies,Memphis,Memphis,Southwest,West,MEM
Mavericks,Dallas,Dallas,Southwest,West,DAL
Pelicans,New_Orleans,New_Orleans,Southwest,West,NOP
Rockets,Houston,Houston,Southwest,West,HOU
Spurs,San_Antonio,San_Antonio,Southwest,West,SAS
